Date,TWTR,KO,GM
2013-11-07,44.900002,30.350573,27.762348
2013-11-08,41.650002,30.518206,28.33428
2013-11-11,42.900002,30.381044,28.349743
2013-11-12,41.900002,30.388666,28.33428
2013-11-13,42.599998,30.571535,29.710032
2013-11-14,44.689999,30.64012,29.756407
2013-11-15,43.98,30.647749,29.965084
2013-11-18,41.139999,30.609644,29.810501
2013-11-19,41.75,30.58679,29.377686
2013-11-20,41.049999,30.525833,29.130367
2013-11-21,42.060001,30.807768,29.462698
2013-11-22,41.0,30.807768,29.083998
2013-11-25,39.060001,30.762045,29.022156
2013-11-26,40.18,30.670605,29.114901
2013-11-27,40.900002,30.839422,30.026918
2013-11-29,41.57,30.839422,29.934172
2013-12-02,40.779999,30.755016,30.227875
2013-12-03,41.369999,30.962196,29.478172
2013-12-04,43.689999,30.977539,29.918715
2013-12-05,45.619999,30.563189,30.212423
2013-12-06,44.950001,31.046606,31.04715
2013-12-09,49.139999,31.000561,31.611361
2013-12-10,51.990002,30.578527,31.224909
2013-12-11,52.34,30.793381,31.039406
2013-12-12,55.330002,30.087421,30.954401
2013-12-13,59.0,30.102772,30.946671
2013-12-16,56.610001,30.133461,32.028721
2013-12-17,56.450001,30.00301,32.09827
2013-12-18,55.509998,30.708971,31.897324
2013-12-19,57.490002,30.586195,31.147625
2013-12-20,60.009998,30.724312,31.680906
2013-12-23,64.540001,30.816401,31.912771
2013-12-24,69.959999,30.839422,31.5959
2013-12-26,73.309998,31.069624,32.090549
2013-12-27,63.75,31.200064,31.642269
2013-12-30,60.509998,31.530024,31.449051
2013-12-31,63.650002,31.698835,31.588171
2014-01-02,67.5,31.200064,31.649996
2014-01-03,69.0,31.046606,30.583403
2014-01-06,66.290001,30.900803,31.224909
2014-01-07,61.459999,30.992893,31.070328
2014-01-08,59.290001,30.647585,31.240368
2014-01-09,57.049999,30.486444,31.294472
2014-01-10,57.0,30.793381,30.938936
2014-01-13,57.82,30.33297,30.591131
2014-01-14,58.209999,30.455742,30.93121
2014-01-15,61.57,30.50946,30.436556
2014-01-16,60.57,30.471098,30.142851
2014-01-17,62.200001,30.141138,29.8337
2014-01-21,62.529999,30.632227,29.63275
2014-01-22,62.439999,30.616898,29.988281
2014-01-23,62.799999,30.110453,29.69458
2014-01-24,61.740002,29.803514,28.465673
2014-01-27,57.91,29.719095,28.411575
2014-01-28,60.439999,29.826525,28.450216
2014-01-29,59.450001,29.082212,28.094685
2014-01-30,63.470001,29.289389,28.473413
2014-01-31,64.5,29.020815,27.886002
2014-02-03,65.25,28.545067,27.244507
2014-02-04,66.32,28.759926,27.685051
2014-02-05,65.970001,28.85968,27.236778
2014-02-06,50.029999,29.181963,27.229046
2014-02-07,54.349998,29.120583,27.909193
2014-02-10,52.919998,29.596323,26.973997
2014-02-11,54.0,29.650045,27.244507
2014-02-12,56.849998,29.550293,27.484098
2014-02-13,56.470001,29.657705,27.20586
2014-02-14,57.439999,29.872574,27.785532
2014-02-18,58.18,28.752256,28.063776
2014-02-19,55.5,28.468342,27.847363
2014-02-20,56.630001,28.621811,28.218351
2014-02-21,55.919998,28.529724,28.357464
2014-02-24,55.779999,28.775276,28.249268
2014-02-25,54.959999,28.982456,27.901457
2014-02-26,55.869999,29.059183,28.465673
2014-02-27,55.77,29.212656,28.4193
2014-02-28,54.91,29.312412,27.97875
2014-03-03,53.709999,29.25102,27.986477
2014-03-04,54.279999,29.396822,28.542965
2014-03-05,54.380001,29.427507,28.998978
2014-03-06,54.830002,29.519587,29.014429
2014-03-07,53.529999,29.580994,29.130367
2014-03-10,53.880001,29.657705,28.66663
2014-03-11,54.02,29.772829,27.190395
2014-03-12,54.5,29.753483,26.943077
2014-03-13,53.57,29.366764,26.34795
2014-03-14,51.919998,29.521448,26.581875
2014-03-17,52.049999,29.598799,27.002945
2014-03-18,51.130001,29.699343,27.424011
2014-03-19,51.240002,29.498262,27.22127
2014-03-20,50.119999,29.738014,27.494186
2014-03-21,50.919998,29.730276,27.299246
2014-03-24,48.77,29.699343,27.400616
2014-03-25,47.880001,29.869501,26.909367
2014-03-26,44.43,29.861761,26.683245
2014-03-27,46.32,30.02417,26.909367
2014-03-28,47.299999,30.124727,27.080915
2014-03-31,46.669998,29.900431,26.839193
2014-04-01,46.98,29.707075,26.776814
2014-04-02,45.73,29.645203,27.197887
2014-04-03,44.049999,29.444111,27.634541
2014-04-04,43.139999,29.560125,27.143305
2014-04-07,42.450001,29.869501,26.597466
2014-04-08,41.779999,30.086054,26.924963
2014-04-09,42.490002,30.155661,26.215389
2014-04-10,41.34,30.078312,25.965868
2014-04-11,40.049999,29.877234,24.897598
2014-04-14,40.869999,29.954567,25.381054
2014-04-15,45.52,31.076023,26.012653
2014-04-16,44.419998,31.393137,26.488306
2014-04-17,45.009998,31.493679,26.496103
2014-04-21,46.130001,31.516884,26.496103
2014-04-22,46.02,31.485949,26.69104
2014-04-23,45.950001,31.501404,26.815804
2014-04-24,44.82,31.47821,26.644255
2014-04-25,41.610001,31.717962,26.293362
2014-04-28,40.73,31.73344,26.324558
2014-04-29,42.619999,31.377663,26.503895
2014-04-30,38.970001,31.547821,26.885977
2014-05-01,39.09,31.540085,27.213472
2014-05-02,39.02,31.671562,27.268061
2014-05-05,38.75,31.524618,27.09651
2014-05-06,31.85,31.3158,27.09651
2014-05-07,30.66,31.640627,27.346035
2014-05-08,31.959999,31.501404,27.174484
2014-05-09,32.049999,31.609682,26.69104
2014-05-12,33.939999,31.571022,27.151093
2014-05-13,33.389999,31.795307,27.408419
2014-05-14,32.849998,31.625164,27.244665
2014-05-15,32.77,31.338993,26.792406
2014-05-16,32.259998,31.625164,26.511694
2014-05-19,32.07,31.485949,26.706636
2014-05-20,31.77,31.385406,25.78652
