Country,Continent,Life_expectancy,GDP_per_capita,Population
Algeria,Africa,75.04253659,4132.760292,39871528.0
Angola,Africa,52.66609756,3695.7937479999996,27859305.0
Benin,Africa,59.72070732,783.947091,10575952.0
Botswana,Africa,64.48741463,6532.060501,2209197.0
Burundi,Africa,57.10704878,303.6810223,10199270.0
Cameroon,Africa,55.93439024,1244.429421,22834522.0
Central African Republic,Africa,51.41912195,348.381417,4546100.0
Chad,Africa,51.87331707,777.2487051,14009413.0
Comoros,Africa,63.55402439,727.6463868,777424.0
Congo,Africa,62.86765854,1712.1211309999999,4995648.0
Djibouti,Africa,62.28565854,1862.167274,927414.0
Egypt,Africa,71.31695122,3547.7130119999997,93778172.0
Equatorial Guinea,Africa,57.96341463,10347.31257,1175389.0
Eritrea,Africa,64.10090244,,
Ethiopia,Africa,64.57804878,645.4637627000001,99873033.0
Gabon,Africa,64.89034146,7388.984144,1930175.0
Gambia,Africa,60.46768293,474.7165587,1977590.0
Ghana,Africa,61.49173171,1361.1139050000002,27582821.0
Guinea,Africa,59.19343902,554.0408765999999,12091533.0
Guinea-Bissau,Africa,55.46731707,596.8717188999999,1770526.0
Kenya,Africa,62.13373171,1349.970144,47236259.0
Lesotho,Africa,49.96121951,1073.828093,2174645.0
Liberia,Africa,61.16095122,452.03807170000005,4499621.0
Libya,Africa,71.82631707,,6234955.0
Madagascar,Africa,65.48278049,401.8575951,24234088.0
Malawi,Africa,63.79685366,362.65754439999995,17573607.0
Mali,Africa,58.45721951,729.7205338,17467905.0
Mauritania,Africa,63.20282927,1158.256469,4182341.0
Mauritius,Africa,74.35317073,9252.110724,1262605.0
Morocco,Africa,74.28931707,2847.285569,34803322.0
Mozambique,Africa,55.3712439,528.3125597,28010691.0
Namibia,Africa,64.91543902,4737.669906,2425561.0
Niger,Africa,61.96902439,358.9970301,19896965.0
Nigeria,Africa,53.04887805,2655.157977,181181744.0
Rwanda,Africa,64.52453659,710.3483907000001,11629553.0
Sao Tome and Principe,Africa,66.51370732,1624.603963,195553.0
Senegal,Africa,66.80441463,908.7256145,14976994.0
Seychelles,Africa,73.22926829,15390.040640000001,93419.0
Sierra Leone,Africa,51.30817073,587.5038232999999,7237025.0
Somalia,Africa,55.68558537,426.00985369999995,13908129.0
South Africa,Africa,57.44090244,5769.77258,55011976.68
South Sudan,Africa,56.1115122,758.7205782000001,11882136.0
Sudan,Africa,63.71073171,2513.884661,38647803.0
Swaziland,Africa,48.87395122,3136.92511,1319011.0
Tanzania,Africa,65.4874878,872.2940933,53879957.0
Togo,Africa,60.1207561,551.1308346,7416802.0
Tunisia,Africa,74.97597561,3828.091589,11273661.0
Uganda,Africa,59.17907317,693.8963828999999,40144870.0
Zambia,Africa,60.78568293,1313.889646,16100587.0
Zimbabwe,Africa,59.16107317,1018.693083,15777451.0
Afghanistan,Asia,60.71717073,584.0259021,33736494.0
Bahrain,Asia,76.81909756,22688.878240000002,1371855.0
Bangladesh,Asia,72.00119512,1210.1581199999998,161200886.0
Bhutan,Asia,69.83285366,2613.645177,787386.0
Cambodia,Asia,68.65614634,1163.18977,15517635.0
China,Asia,75.98634146,8069.2119379999995,1371220000.0
India,Asia,68.34856098,1613.188708,1309053980.0
Indonesia,Asia,69.07168293,3336.106686,258162113.0
